1780272000000,73674.39000000,73872.00000000,73654.06000000,73861.33000000,63.17605000,1780272299999999,4659382.05691180,15503,41.01655000,3024659.52518640,0
1780272300000,73861.33000000,73879.67000000,73732.48000000,73753.75000000,48.91549000,1780272599999999,3610501.87706490,13209,24.88839000,1836471.06937980,0
1780272600000,73753.74000000,73806.16000000,73718.57000000,73806.15000000,24.49997000,1780272899999999,1807071.60701100,9488,10.77033000,794325.72736880,0
1780272900000,73806.15000000,73847.23000000,73724.57000000,73730.26000000,20.68017000,1780273199999999,1526136.66289940,9517,10.39276000,767118.79706440,0
1780273200000,73730.27000000,73826.00000000,73720.94000000,73802.25000000,17.91445000,1780273499999999,1321604.72422490,9122,14.06275000,1037418.43467990,0
1780273500000,73802.25000000,73971.31000000,73802.25000000,73960.00000000,27.12952000,1780273799999999,2004832.21149400,10259,22.98073000,1698314.63815320,0
1780273800000,73960.00000000,74092.00000000,73836.00000000,73917.43000000,63.40427000,1780274099999999,4690036.32399460,22450,34.85113000,2578208.35921450,0
1780274100000,73917.43000000,73940.00000000,73884.61000000,73898.75000000,18.71847000,1780274399999999,1383381.59160560,8544,10.65702000,787615.07428600,0
1780274400000,73898.75000000,73966.84000000,73868.56000000,73946.01000000,14.34333000,1780274699999999,1060398.36491500,8899,10.69762000,790882.63531730,0
1780274700000,73946.00000000,74016.16000000,73942.00000000,73962.72000000,36.58711000,1780274999999999,2707059.53154360,12710,20.67229000,1529500.43515880,0
1780275000000,73962.73000000,74000.00000000,73900.36000000,73924.01000000,20.36587000,1780275299999999,1506151.13107030,11064,9.19387000,679978.37078270,0
1780275300000,73924.01000000,73929.46000000,73876.17000000,73885.00000000,10.75500000,1780275599999999,794849.26954080,6063,4.22264000,312097.11637860,0
1780275600000,73885.01000000,73916.01000000,73736.00000000,73741.15000000,23.93324000,1780275899999999,1766810.50448560,12587,6.72933000,496834.68274180,0
1780275900000,73741.16000000,73749.76000000,73576.00000000,73596.79000000,59.09310000,1780276199999999,4350338.70816670,15739,14.77680000,1088008.61304130,0
1780276200000,73596.79000000,73632.00000000,73573.00000000,73573.00000000,32.90764000,1780276499999999,2422116.52585030,13502,13.26725000,976528.46900080,0
1780276500000,73573.00000000,73628.02000000,73573.00000000,73600.19000000,24.31245000,1780276799999999,1789494.56814400,10800,9.92285000,730337.65664200,0
1780276800000,73600.19000000,73649.92000000,73600.18000000,73601.69000000,23.62371000,1780277099999999,1739142.21618440,10889,11.93396000,878543.08224970,0
1780277100000,73601.68000000,73643.63000000,73590.00000000,73604.00000000,40.84359000,1780277399999999,3006517.81203320,8736,12.42463000,914696.24344330,0
1780277400000,73604.01000000,73626.04000000,73592.00000000,73615.98000000,30.74149000,1780277699999999,2262748.36444760,5801,17.46420000,1285555.96032970,0
1780277700000,73615.99000000,73642.00000000,73600.00000000,73603.90000000,16.96937000,1780277999999999,1249408.02742180,8073,12.69276000,934544.06506060,0
1780278000000,73603.90000000,73652.00000000,73461.35000000,73498.00000000,92.95177000,1780278299999999,6837161.80740460,14375,18.81570000,1383648.17617920,0
1780278300000,73498.00000000,73572.00000000,73447.11000000,73563.73000000,25.69431000,1780278599999999,1888417.48749630,12205,14.19356000,1043212.97259010,0
1780278600000,73563.74000000,73563.74000000,73350.00000000,73370.00000000,47.28756000,1780278899999999,3472702.16987470,13347,11.79183000,865819.23123160,0
1780278900000,73369.99000000,73370.00000000,73278.02000000,73292.92000000,46.18442000,1780279199999999,3386413.98333280,15482,13.37339000,980669.29409190,0
1780279200000,73292.92000000,73388.00000000,73222.00000000,73370.01000000,166.56542000,1780279499999999,12206839.27407270,18870,114.17924000,8367902.98625120,0
1780279500000,73370.01000000,73548.09000000,73370.00000000,73520.00000000,57.75151000,1780279799999999,4241759.13479620,14779,29.48761000,2165742.03324390,0
1780279800000,73520.00000000,73562.29000000,73506.22000000,73548.46000000,10.55930000,1780280099999999,776442.09610470,5557,5.52682000,406387.19665280,0
1780280100000,73548.45000000,73553.52000000,73454.00000000,73464.29000000,20.78869000,1780280399999999,1528169.89046040,8190,5.41979000,398381.77658830,0
1780280400000,73464.29000000,73545.25000000,73464.29000000,73493.00000000,18.18472000,1780280699999999,1336752.57669610,6728,9.53592000,700962.66803510,0
1780280700000,73493.00000000,73530.45000000,73492.00000000,73523.99000000,14.25079000,1780280999999999,1047598.63855330,5144,9.80077000,720465.23758360,0
1780281000000,73524.00000000,73524.68000000,73468.86000000,73498.34000000,8.35566000,1780281299999999,614126.19430540,5859,4.49392000,330292.53536210,0
1780281300000,73498.34000000,73572.27000000,73482.14000000,73572.27000000,16.44101000,1780281599999999,1208839.48440020,6478,10.64845000,782914.42336280,0
1780281600000,73572.27000000,73892.52000000,73554.00000000,73782.01000000,85.98317000,1780281899999999,6344158.80578510,28186,51.57137000,3804940.56189330,0
1780281900000,73782.00000000,73858.85000000,73746.00000000,73802.00000000,23.20544000,1780282199999999,1712619.36530950,11520,14.11568000,1041749.05875410,0
1780282200000,73802.01000000,73846.39000000,73772.00000000,73794.00000000,37.43960000,1780282499999999,2763380.63019950,10037,19.02674000,1404424.81281090,0
1780282500000,73794.00000000,73809.80000000,73758.00000000,73790.00000000,46.97494000,1780282799999999,3466348.97052690,7452,14.62134000,1078780.20435930,0
1780282800000,73789.99000000,74019.58000000,73788.01000000,73971.30000000,117.83509000,1780283099999999,8702786.02571360,20617,99.74582000,7366032.98034960,0
1780283100000,73971.31000000,73984.00000000,73912.68000000,73973.48000000,23.81808000,1780283399999999,1761419.11287610,11373,9.78741000,723849.82823720,0
1780283400000,73973.48000000,73973.48000000,73875.99000000,73882.01000000,24.02496000,1780283699999999,1776075.15561470,8158,4.32689000,319835.37441180,0
1780283700000,73882.00000000,73947.12000000,73800.00000000,73918.09000000,45.97270000,1780283999999999,3396088.02498770,16518,18.71070000,1382082.73139550,0
1780284000000,73918.09000000,73974.00000000,73906.33000000,73949.89000000,35.33155000,1780284299999999,2612460.42108890,7302,11.33137000,837862.53596950,0
1780284300000,73949.90000000,73949.90000000,73887.21000000,73921.77000000,25.52751000,1780284599999999,1886990.34789550,7223,6.53681000,483154.44806430,0
1780284600000,73921.78000000,73979.23000000,73921.77000000,73944.29000000,26.24571000,1780284899999999,1941207.43802160,7815,13.05103000,965247.59940460,0
1780284900000,73944.29000000,73969.72000000,73892.00000000,73892.00000000,20.94761000,1780285199999999,1548906.18782990,6809,4.97597000,367928.69369840,0
1780285200000,73892.01000000,73904.89000000,73800.00000000,73849.99000000,32.44093000,1780285499999999,2395528.82707720,7406,8.12089000,599525.63948230,0
1780285500000,73850.00000000,73909.05000000,73848.69000000,73890.45000000,15.26915000,1780285799999999,1128085.18724190,4940,8.16048000,602915.87363310,0
1780285800000,73890.44000000,73900.00000000,73752.80000000,73752.81000000,70.16944000,1780286099999999,5177890.67142550,7324,4.09337000,302286.22309680,0
1780286100000,73752.80000000,73773.72000000,73735.47000000,73769.06000000,22.85970000,1780286399999999,1685921.01634850,4618,9.09356000,670646.72764650,0
1780286400000,73769.06000000,73841.37000000,73762.32000000,73785.43000000,58.17749000,1780286699999999,4293646.28191660,7209,45.05234000,3324938.80027190,0
1780286700000,73785.44000000,73785.44000000,73663.07000000,73676.60000000,22.68184000,1780286999999999,1671908.57819390,6774,4.53588000,334289.35321200,0
1780287000000,73676.61000000,73676.61000000,73584.93000000,73604.91000000,23.96922000,1780287299999999,1764665.32291210,8809,6.72075000,494702.64296360,0
1780287300000,73604.91000000,73619.48000000,73505.37000000,73513.11000000,28.38977000,1780287599999999,2088092.32743230,7601,14.86559000,1093290.13546210,0
1780287600000,73513.11000000,73513.11000000,73407.86000000,73434.87000000,35.15469000,1780287899999999,2582483.36961810,12606,14.11751000,1036978.63483400,0
1780287900000,73434.88000000,73454.00000000,73408.00000000,73408.01000000,22.95718000,1780288199999999,1685779.38272740,8503,9.73168000,714618.11230790,0
1780288200000,73408.01000000,73478.34000000,73408.00000000,73443.17000000,31.04316000,1780288499999999,2280182.52371250,7921,20.30206000,1491197.52716640,0
1780288500000,73443.17000000,73474.01000000,73436.00000000,73450.24000000,22.68634000,1780288799999999,1666511.31695800,6891,14.59563000,1072176.32950530,0
1780288800000,73450.24000000,73492.50000000,73450.24000000,73491.99000000,19.77657000,1780289099999999,1453135.58885420,4910,12.78406000,939309.08369030,0
1780289100000,73491.99000000,73492.00000000,73348.74000000,73414.00000000,25.21467000,1780289399999999,1851192.20840800,10930,8.60715000,631852.07792560,0
1780289400000,73414.00000000,73521.69000000,73414.00000000,73521.68000000,17.05714000,1780289699999999,1253450.28392850,7550,12.34731000,907295.43832510,0
1780289700000,73521.68000000,73589.51000000,73505.42000000,73536.01000000,28.53920000,1780289999999999,2099279.68238910,7567,19.40881000,1427675.32344830,0
1780290000000,73536.01000000,73536.01000000,73457.57000000,73511.68000000,19.04439000,1780290299999999,1399709.77088760,7376,8.34961000,613615.32902060,0
1780290300000,73511.68000000,73526.00000000,73484.01000000,73494.00000000,12.49201000,1780290599999999,918330.13640120,4934,5.85499000,430425.98066210,0
1780290600000,73494.01000000,73540.10000000,73473.97000000,73540.00000000,61.46691000,1780290899999999,4519047.88536990,4633,53.68861000,3947198.95832620,0
1780290900000,73540.00000000,73541.48000000,73463.38000000,73468.17000000,33.32470000,1780291199999999,2449618.79204560,5098,10.08516000,741307.73164620,0
1780291200000,73468.17000000,73533.11000000,73457.99000000,73457.99000000,23.37401000,1780291499999999,1717678.39643810,5237,5.44253000,400037.93358400,0
1780291500000,73458.00000000,73458.00000000,73350.39000000,73351.70000000,24.72186000,1780291799999999,1814137.17193950,8588,8.16499000,599084.49275250,0
1780291800000,73351.70000000,73423.34000000,73351.69000000,73396.01000000,18.53560000,1780292099999999,1360320.64022280,6559,8.21725000,603070.12736210,0
1780292100000,73396.01000000,73409.01000000,73328.32000000,73391.84000000,19.07860000,1780292399999999,1399883.86173800,8573,7.30507000,535978.56153300,0
1780292400000,73391.84000000,73426.38000000,73391.84000000,73426.37000000,20.17513000,1780292699999999,1481136.79458610,4738,7.52059000,552112.37427750,0
1780292700000,73426.37000000,73465.56000000,73410.11000000,73419.85000000,101.26837000,1780292999999999,7436529.17292360,5847,36.02441000,2645019.27541680,0
1780293000000,73419.85000000,73445.66000000,73400.00000000,73400.00000000,59.91555000,1780293299999999,4398698.45444510,4801,49.39655000,3626306.56074030,0
1780293300000,73400.01000000,73406.95000000,73340.00000000,73350.00000000,10.80078000,1780293599999999,792553.62737710,4514,3.34315000,245301.71107510,0
1780293600000,73349.99000000,73368.00000000,73294.21000000,73313.50000000,26.34096000,1780293899999999,1931739.58591950,9327,12.45677000,913552.20462870,0
1780293900000,73313.51000000,73313.51000000,73242.02000000,73248.35000000,38.43104000,1780294199999999,2816307.52702270,11339,12.12717000,888727.90812090,0
1780294200000,73248.34000000,73314.00000000,73242.02000000,73289.99000000,26.85001000,1780294499999999,1967597.41796290,8592,14.48065000,1061211.14572680,0
1780294500000,73289.98000000,73326.00000000,73280.00000000,73280.00000000,47.75563000,1780294799999999,3500577.03401470,7103,10.05342000,736905.15617690,0
1780294800000,73280.00000000,73280.00000000,73144.00000000,73238.00000000,71.19590000,1780295099999999,5212391.34680430,16434,28.40564000,2079784.57834630,0
1780295100000,73237.99000000,73237.99000000,73177.50000000,73192.82000000,34.87705000,1780295399999999,2552899.13519310,10081,18.04298000,1320627.80160440,0
1780295400000,73192.81000000,73234.00000000,73144.00000000,73197.16000000,127.87546000,1780295699999999,9360382.96896000,15020,25.43631000,1861704.89226700,0
1780295700000,73197.16000000,73197.16000000,73117.00000000,73142.14000000,58.26030000,1780295999999999,4262249.48208400,16509,22.19662000,1623698.86367080,0
1780296000000,73142.14000000,73142.14000000,73004.99000000,73009.81000000,89.89024000,1780296299999999,6569258.19388080,21345,23.96464000,1751416.47221240,0
1780296300000,73009.81000000,73184.43000000,72950.01000000,73183.77000000,145.47753000,1780296599999999,10625106.45859900,28405,62.16203000,4541438.67561400,0
1780296600000,73183.76000000,73211.91000000,73124.01000000,73124.01000000,39.95147000,1780296899999999,2923506.99571520,9299,12.94461000,947314.75274780,0
